t,e_norm,omega_norm,q0,q1,q2,q3,omega0,omega1,omega2,u0,u1,u2
0.0,0.3826834312342333,0.3905124837953327,0.9238795329797028,0.3826834312342333,0.0,0.0,0.3,-0.2,0.15,-2.1307337249369334,0.4,-0.3
0.001,0.38282141284124155,0.3881681966008572,0.9238223670545306,0.3828213924725838,-0.00012096972054214059,3.1007144060772415e-05,0.2973440690149529,-0.19958209399497384,0.14975994534779344,-2.1259737079202408,0.39964806687211624,-0.29964391927183
0.002,0.38295819515166885,0.38583342489348976,0.9237656741653569,0.38295811386195494,-0.0002417006357412882,6.198322600582455e-05,0.29469406044189445,-0.19916472738715446,0.14952007848482987,-2.1212205763316088,0.3992962573172741,-0.29928808987368305
0.003,0.3830937808741899,0.3835082107111934,0.9237094538086736,0.3830935983869148,-0.0003621930623988636,9.2928104253952e-05,0.2920499657536253,-0.1987478991679537,0.14928039979358418,-2.11647432505491,0.39894457058550287,-0.2989325120041842
0.004,0.3832281727129402,0.3811925969245467,0.9236537054757594,0.3832278490255297,-0.00048244731686127853,0.00012384163825094726,0.28941177642916704,-0.1983316083322976,0.14904090965408742,-2.1117349489604527,0.39859300593204033,-0.29857718586117865
0.005,0.3833613733675132,0.3788866272498939,0.9235984286527203,0.3833608687493784,-0.000602463715019552,0.00015472368846525795,0.2867794839537793,-0.1979158538786166,0.14880160844393517,-2.107002442905072,0.3982415626173114,-0.29822211164173135
0.006,0.38349338553295775,0.3765903462626121,0.9235436228205305,0.383492660523567,-0.0007222425723089436,0.00018557411638365852,0.28415307981897664,-0.1975006348088361,0.1485624965382958,-2.1022768017322213,0.39789023990690797,-0.29786728954212627
0.007,0.38362421189977547,0.3743037994104875,0.9234892874550718,0.38362322730674303,-0.0008417842037086027,0.0002163927845069351,0.2815325555225459,-0.19708595012836677,0.14832357430991888,-2.097558020272064,0.39753903707156796,-0.29751271975786553
0.008,0.3837538551539189,0.3720270330271961,0.9234354220271741,0.38375257205111024,-0.0009610889237412344,0.00024717955634558374,0.2789179025685628,-0.196671798846095,0.14808484212914333,-2.0928460933415667,0.39718795338715496,-0.297158402483669
0.009000000000000001,0.383882317976789,0.36976009434588103,0.9233820260026548,0.38388069770244293,-0.0010801570464727816,0.0002779342964155218,0.27630911246740875,-0.19625817997437325,0.1478463003639057,-2.088141015744589,0.39683698813463764,-0.2968043379134735
0.010000000000000002,0.3840096030452337,0.36750303151282043,0.9233290988423587,0.38400760720010063,-0.0011989888855121233,0.0003086568702338129,0.2737061767357874,-0.19584509252901042,0.1476079493797484,-2.083442782271977,0.3964861406000693,-0.296450526240432
0.011000000000000003,0.38413571303154564,0.36525589360117705,0.9232766400021968,0.3841333034770425,-0.0013175847540107884,0.00033934714431440454,0.2711090868967413,-0.19543253552926235,0.14736978953982785,-2.0787513877016526,0.3961354100745679,-0.29609696765691335
0.012000000000000004,0.38426065060346154,0.36301873062482115,0.923224648933186,0.384257789459842,-0.0014359449646626854,0.00037000498616387956,0.26851783447966815,-0.1950205079978222,0.14713182120492274,-2.0740668267987044,0.39578479585429516,-0.295743662354501
0.013000000000000005,0.38438441842416016,0.3607915935522181,0.9231731250814877,0.3843810680687013,-0.0015540698297038483,0.0004006302642772204,0.2659324110203372,-0.19460900896081085,0.14689404473344203,-2.0693890943154796,0.3954342972404371,-0.29539061052399296
