t,e_norm,omega_norm,q0,q1,q2,q3,omega0,omega1,omega2,u0,u1,u2,phi,sigma,mismatch
0.0,0.3826834312342333,0.3905124837953327,0.9238795329797028,0.3826834312342333,0.0,0.0,0.3,-0.2,0.15,-2.1307337249369334,0.4,-0.3,-0.23039296399664994,0.23039296399664994,0.0
0.001,0.38282141284124155,0.3881681966008572,0.9238223670545306,0.3828213924725838,-0.00012096972054214059,3.1007144060772415e-05,0.2973440690149529,-0.19958209399497384,0.14975994534779344,-2.1307337249369334,0.4,-0.3,-0.2254412527484908,0.2302275260807065,0.004786273332215706
0.002,0.3829581937774977,0.38582858375919593,0.9237656747350361,0.3829581124878584,-0.0002417005261443919,6.198319089188035e-05,0.29468811040665055,-0.19916437564959713,0.14951978164340246,-2.1307337249369334,0.4,-0.3,-0.22048434784587678,0.23006195526466844,0.009577607418791647
0.003,0.3830937740055759,0.3834937309172929,0.9237094566573218,0.3830935915188582,-0.00036219251465125857,9.292792822441514e-05,0.2920321242268383,-0.1987468444681201,0.14927950926497047,-2.1307337249369334,0.4,-0.3,-0.21552225882962792,0.22989626009451725,0.01437400126488933
0.004,0.38322815348788497,0.3811637256442741,0.923653713452323,0.3832278298025479,-0.00048244578385126836,0.00012384114406628247,0.28937611052726203,-0.19832949995439103,0.14903912859037544,-2.1307337249369334,0.4,-0.3,-0.21055499542532147,0.2297304493083699,0.01917545388304843
0.005,0.3833613321866519,0.3788386574795757,0.9235984457458098,0.38336082757405165,-0.0006024604314751001,0.00015472262670198635,0.2867200693596683,-0.19791234161185792,0.14879863999723078,-2.1307337249369334,0.4,-0.3,-0.20558256754807958,0.22956453184128353,0.02398196429320395
0.006,0.38349331006390597,0.37651861798227193,0.9235436541583885,0.3834925850666492,-0.0007222365551937174,0.000185572164692412,0.28406400077580396,-0.19749536894357003,0.14855804386288612,-2.1307337249369334,0.4,-0.3,-0.2006049853074772,0.22939851683018017,0.028793531522702972
0.007,0.38362408708146245,0.37420370078162524,0.9234893393055031,0.38362310251177145,-0.000841774252616508,0.00021638954687460825,0.2814079048274162,-0.19707858145217966,0.14831734056442822,-2.1307337249369334,0.4,-0.3,-0.19562225901257152,0.22923241361889374,0.033610154606322204
0.008,0.38375366320090687,0.3718940016288798,0.9234355017974375,0.383752380138997,-0.0009610736212894296,0.0002471745623615691,0.27875178156625235,-0.1966619786399437,0.1480765304786817,-2.1307337249369334,0.4,-0.3,-0.19063439917705927,0.22906623176334143,0.03843183258628215
0.009000000000000001,0.3838820383835792,0.36958961845031973,0.923382142239316,0.3838804181760476,-0.0010801347586931616,0.00027792700054201465,0.27609563104406004,-0.19624556000872534,0.14783561398220998,-2.1307337249369334,0.4,-0.3,-0.18564141652455388,0.22889998103682158,0.04325856451226769
0.010000000000000002,0.38400921259055804,0.36729065140161227,0.9233292612311059,0.38400721684878464,-0.001198957762241263,0.000308646651080171,0.2734394533125868,-0.19582932505999565,0.14759459145131612,-2.1307337249369334,0.4,-0.3,-0.18064332199400107,0.22873367143544024,0.048090349441439154
0.011000000000000003,0.3841351857826453,0.3649972029234563,0.9232768593676183,0.38413277638120497,-0.0013175427292783353,0.0003393333039155499,0.2707832484235801,-0.1954132732948353,0.14735346326204363,-2.1307337249369334,0.4,-0.3,-0.17564012674521493,0.2285673131836683,0.05292718643845338
0.012000000000000004,0.38425995792035095,0.3627093777985541,0.9232249372385097,0.38425709699543714,-0.001435889757078193,0.0003699867492627275,0.2681270164287872,-0.1949974042139361,0.14711222979017732,-2.1307337249369334,0.4,-0.3,-0.17063184216455568,0.22840091674003088,0.05776907457547519
0.013000000000000005,0.38438352896387745,0.3604272832099258,0.9231734954282841,0.3843801789117376,-0.0015539989428420388,0.00040060677761112227,0.26547075737995535,-0.19458171731760276,0.14687089141124415,-2.1307337249369334,0.4,-0.3,-0.16561847987073372,0.22823449280293132,0.0626160129321976
0.014000000000000005,0.3845058988731049,0.35815102880058114,0.9231225345162937,0.3845020223484868,-0.0016718703836966454,0.0004311931797247727,0.2628144713288311,-0.19416621210575438,0.1466294485005141,-2.1307337249369334,0.4,-0.3,-0.16060005172075734,0.22806805231661056,0.06746800059585323
0.015000000000000006,0.384627067607576,0.35588072673456655,0.9230720550767406,0.3846226275221855,-0.001789504176692543,0.0004617457466421136,0.26015815832716094,-0.19375088807792623,0.14638790143300098,-2.1307337249369334,0.4,-0.3,-0.1555765698160118,0.22790160647724464,0.07232503666123283
0.016000000000000007,0.3847470351264811,0.35361649175939946,0.9230220576786788,0.38474199464745107,-0.001906900418802212,0.0004922642696757526,0.25750181842669057,-0.19333574473327128,0.14614625058346334,-2.1307337249369334,0.4,-0.3,-0.1505480465084808,0.2277351667391805,0.07718712023069971
0.017000000000000008,0.3848658013886439,0.3513584412699034,0.922972542886015,0.38486012393701363,-0.0020240592069182845,0.0005227485404122454,0.25484545167916517,-0.1929207815705619,0.14590449632640526,-2.1307337249369334,0.4,-0.3,-0.14551449440710712,0.22756874482131229,0.08205425041420517
